AMK - ANG MO KIO
BB - BUKIT BATOK
BD - BEDOK
BH - BISHAN
BM - BUKIT MERAH
BP - BUKIT PANJANG
BT - BUKIT TIMAH
CCK - CHOA CHU KANG
CL - CLEMENTI
CT - CENTRAL AREA
GL - GEYLANG
HG - HOUGANG
JE - JURONG EAST
JW - JURONG WEST
KWN - KALLANG/WHAMPOA
MP - MARINE PARADE
PG - PUNGGOL
PRC - PASIR RIS
QT - QUEENSTOWN
SB - SEMBAWANG
SGN - SERANGOON
SK - SENGKANG
TAP - TAMPINES
TG - TENGAH
TP - TOA PAYOH
WL - WOODLANDS
YS - YISHUN
