blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
1,BEACH RD,16,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,142,0,357.8,48,1.3036713506088,103.864478660925,190001,KALLANG/WHAMPOA
1,BEDOK STH AVE 1,14,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,206,0,517.0,53,1.32085208689731,103.933721091441,460001,BEDOK
1,CHAI CHEE RD,15,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,102,0,355.0,60,1.32796879176302,103.922716018139,461001,BEDOK
1,CHANGI VILLAGE RD,4,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,55,0,138.5,53,1.3886100383707,103.988093482829,500001,PASIR RIS
1,DELTA AVE,25,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,60,1.2920752508431,103.828584077626,160001,BUKIT MERAH
1,DOVER RD,12,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,125,0,319.5,53,1.3025299473495,103.783271662459,130001,QUEENSTOWN
1,EVERTON PK,12,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,95,0,270.5,58,1.27549895431693,103.841398475091,080001,BUKIT MERAH
1,GHIM MOH RD,15,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,220,0,554.0,53,1.31287975684307,103.786855017635,270001,QUEENSTOWN
1,HAIG RD,15,GL,219,0,0,214,0,5,0,0,0,0,0,0,0,219,0,552.5,54,1.31129091782202,103.897703436187,430001,GEYLANG
1,HOUGANG AVE 3,14,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,204,0,514.0,52,1.36413097349222,103.89300132385,530001,HOUGANG
1,JLN BT MERAH,14,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,243,1,610.0,52,1.28644157642074,103.808286977232,150001,BUKIT MERAH
1,KG KAYU RD,10,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,107,0,268.3,41,1.30355769675629,103.883796413118,431001,KALLANG/WHAMPOA
1,LOR 7 TOA PAYOH,11,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,196,0,492.0,46,1.33943033543358,103.853442790992,310001,TOA PAYOH
1,LOR LEW LIAN,14,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,177,2,450.5,55,1.35086712646948,103.875343939672,531001,SERANGOON
1,MARINE TER,25,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,52,1.30482902187779,103.918614976369,440001,MARINE PARADE
1,MARSILING DR,11,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,159,0,398.5,51,1.44067109860246,103.775739945213,730001,WOODLANDS
1,PINE CL,19,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,156,0,526.0,76,1.30787056219408,103.883192164927,390001,GEYLANG
1,QUEEN'S RD,23,BT,88,0,0,0,0,88,0,0,0,0,0,0,0,88,0,308.0,52,1.31726629524359,103.806782877524,260001,BUKIT TIMAH
1,TECK WHYE AVE,13,CCK,118,0,0,68,48,0,2,0,0,0,0,0,0,118,0,336.0,61,1.38253882861956,103.751710905678,680001,CHOA CHU KANG
1,TELOK BLANGAH CRES,16,BM,148,0,0,146,0,2,0,0,0,0,0,0,0,148,0,372.0,51,1.27945660077329,103.817897561986,090001,BUKIT MERAH
1,TG PAGAR PLAZA,24,CT,163,0,0,158,0,5,0,0,0,0,0,0,0,163,0,412.5,54,1.27624051973973,103.843006115698,082001,CENTRAL AREA
1,TOH YI DR,13,BT,132,0,0,0,72,60,0,0,0,0,0,0,0,132,0,447.6,65,1.33958155877064,103.774586318946,591501,BUKIT TIMAH
1A,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27784271048219,103.840965923691,085101,CENTRAL AREA
1B,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27779940676005,103.841403430465,085201,CENTRAL AREA
1C,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27744909387079,103.841666679651,085301,CENTRAL AREA
1D,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27692024304713,103.841485788369,085401,CENTRAL AREA
1E,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27662168290503,103.841156133831,085501,CENTRAL AREA
1F,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27598699469414,103.841191762017,085601,CENTRAL AREA
1G,CANTONMENT RD,50,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,264,0,888.8,87,1.27553229128302,103.841274606704,085701,CENTRAL AREA
10,CHAI CHEE RD,15,BD,84,0,0,0,56,28,0,0,0,0,0,0,0,84,0,282.79999999999995,77,1.32727572366021,103.924803599281,467010,BEDOK
10,EUNOS CRES,16,GL,180,0,0,0,180,0,0,0,0,0,0,0,0,180,0,594.0,55,1.32228655863065,103.902720513959,400010,GEYLANG
10,GLOUCESTER RD,14,KWN,207,0,0,180,26,1,0,0,0,0,0,0,0,207,0,539.3,54,1.31391658721965,103.852209769739,210010,KALLANG/WHAMPOA
10,HAIG RD,13,GL,133,0,0,133,0,0,0,0,0,0,0,0,0,133,0,332.5,54,1.3148464110566,103.895864993673,430010,GEYLANG
10,HOLLAND AVE,14,QT,101,0,0,0,101,0,0,0,0,0,0,0,0,101,0,333.29999999999995,51,1.30814997104791,103.794275184926,271010,QUEENSTOWN
10,JLN BT HO SWEE,10,BM,120,0,50,0,0,0,0,0,0,0,70,0,0,50,70,300.0,40,1.28745837020188,103.832675765986,161010,BUKIT MERAH
10,JLN KUKOH,12,CT,92,0,72,16,4,0,0,0,0,0,0,0,0,92,0,233.2,48,1.2869738344398,103.839075823483,162010,CENTRAL AREA
10,JLN BATU,12,KWN,132,0,0,0,8,97,27,0,0,0,0,0,0,132,0,468.5,44,1.30204488252463,103.882887148325,431010,KALLANG/WHAMPOA
10,JLN RUMAH TINGGI,4,BM,28,0,0,20,8,0,0,0,0,0,0,0,0,28,0,76.4,64,1.28820018880462,103.808369387433,150010,BUKIT MERAH
10,JOO SENG RD,20,TP,76,0,0,0,0,76,0,0,0,0,0,0,0,76,0,266.0,60,1.33461833377097,103.88016502252,360010,TOA PAYOH
10,LOR 7 TOA PAYOH,25,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,96,0,322.4,75,1.33716527577081,103.857228807914,310010,TOA PAYOH
10,MARSILING DR,22,WL,84,0,0,0,0,84,0,0,0,0,0,0,0,84,0,294.0,53,1.44080567418718,103.777318569996,730010,WOODLANDS
10,PINE CL,13,GL,120,0,0,72,48,0,0,0,0,0,0,0,0,120,0,338.4,59,1.30915239429834,103.882242524292,391010,GEYLANG
10,SELEGIE RD,10,CT,48,0,0,48,0,0,0,0,0,0,0,0,0,48,0,120.0,41,1.30370879401395,103.850537238747,180010,CENTRAL AREA
10,TECK WHYE AVE,12,CCK,153,0,0,130,22,0,1,0,0,0,0,0,0,153,0,401.4,55,1.38047054647235,103.755211077169,680010,CHOA CHU KANG
10,TELOK BLANGAH CRES,10,BM,66,0,0,65,0,1,0,0,0,0,0,0,0,66,0,166.0,52,1.27773153190559,103.819769431353,090010,BUKIT MERAH
10,TOH YI DR,7,BT,36,0,0,0,0,0,36,0,0,0,0,0,0,36,0,136.79999999999998,66,1.33753956576433,103.773161066389,590010,BUKIT TIMAH
10A,BENDEMEER RD,40,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,220,0,669.2,94,1.31499138887312,103.86050538635,331010,KALLANG/WHAMPOA
10A,BOON TIONG RD,40,BM,228,0,0,76,152,0,0,0,0,0,0,0,0,228,0,691.5999999999999,92,1.28635847107695,103.82962615571,160010,BUKIT MERAH
10B,BENDEMEER RD,40,KWN,184,0,0,70,114,0,0,0,0,0,0,0,0,184,0,551.2,94,1.31547715332072,103.860312930116,332010,KALLANG/WHAMPOA
10B,BEDOK STH AVE 2,20,BD,56,0,0,0,0,0,56,0,0,0,0,0,0,56,0,212.79999999999998,72,1.32235386630343,103.936183263112,461010,BEDOK
10B,BOON TIONG RD,30,BM,160,0,12,28,84,0,0,0,36,0,0,0,0,160,0,456.4,92,1.28633684743341,103.829204757258,164010,BUKIT MERAH
10B,LOR 7 TOA PAYOH,25,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,96,0,322.4,75,1.33716136352623,103.858353639387,312010,TOA PAYOH
10C,BENDEMEER RD,40,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,220,0,669.2,94,1.31584236197018,103.860644539729,333010,KALLANG/WHAMPOA
10C,BEDOK STH AVE 2,2,BD,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,7.6,72,1.32209389873887,103.936222129379,462010,BEDOK
10D,BEDOK STH AVE 2,23,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,84,0,319.2,72,1.3217708591015,103.936326570445,463010,BEDOK
10E,BEDOK STH AVE 2,21,BD,81,0,0,0,0,0,81,0,0,0,0,0,0,81,0,307.8,70,1.3216200934601,103.937040959341,464010,BEDOK
10F,BEDOK STH AVE 2,24,BD,67,0,0,0,0,0,67,0,0,0,0,0,0,67,0,254.6,70,1.32221773472774,103.937001345916,465010,BEDOK
100,BEDOK NTH AVE 4,14,BD,206,0,0,178,26,1,1,0,0,0,0,0,0,206,0,538.1,56,1.3343559340081,103.939032711241,460100,BEDOK
100,C'WEALTH CRES,10,QT,75,0,9,61,5,0,0,0,0,0,0,0,0,75,0,191.5,42,1.30770527644458,103.801272476263,140100,QUEENSTOWN
100,LOR 1 TOA PAYOH,16,TP,192,0,0,192,0,0,0,0,0,0,0,0,0,192,0,480.0,46,1.33956400517882,103.848585713817,310100,TOA PAYOH
100,WHAMPOA DR,25,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,96,0,316.79999999999995,51,1.32077947735201,103.854348739922,320100,KALLANG/WHAMPOA
101,AH HOOD RD,25,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,59,1.32739678972464,103.84448102202,320101,KALLANG/WHAMPOA
101,ALJUNIED CRES,12,GL,152,0,0,126,22,1,1,0,0,0,0,2,0,150,2,399.9,55,1.32092275330579,103.883351967045,380101,GEYLANG
101,ANG MO KIO AVE 3,12,AMK,88,0,0,0,12,76,0,0,0,0,0,0,0,88,0,305.6,55,1.37026158388486,103.839467898898,560101,ANG MO KIO
101,BEDOK RESERVOIR RD,12,BD,110,0,0,0,16,94,0,0,0,0,0,0,0,110,0,381.8,63,1.32844913301985,103.909937396599,470101,BEDOK
101,BEDOK NTH AVE 4,13,BD,168,0,35,0,0,0,0,0,0,0,133,0,0,35,133,420.0,55,1.334484667124,103.937924710969,460101,BEDOK
101,BISHAN ST 12,25,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,92,0,324.4,64,1.34485915828152,103.848400765185,570101,BISHAN
101,BT BATOK WEST AVE 6,13,BB,96,0,0,2,46,48,0,0,0,0,0,0,0,96,0,324.79999999999995,62,1.34670636093149,103.746920663038,650101,BUKIT BATOK
101,BT PURMEI RD,11,BM,140,0,0,89,50,0,0,0,0,0,0,1,0,139,1,390.0,60,1.27146256556443,103.825683545567,090101,BUKIT MERAH
101,C'WEALTH CRES,10,QT,76,0,10,62,4,0,0,0,0,0,0,0,0,76,0,193.2,42,1.30805159231327,103.800842814413,140101,QUEENSTOWN
101,CLEMENTI ST 14,15,CL,112,0,0,0,18,94,0,0,0,0,0,0,0,112,0,388.4,62,1.32208936757694,103.76893341249,120101,CLEMENTI
101,GANGSA RD,13,BP,60,0,0,0,0,0,60,0,0,0,0,0,0,60,0,228.0,64,1.37916431633637,103.767439286222,670101,BUKIT PANJANG
101,HENDERSON CRES,12,BM,96,0,0,0,96,0,0,0,0,0,0,0,0,96,0,316.79999999999995,45,1.29071799751539,103.821625207737,150101,BUKIT MERAH
101,HOUGANG AVE 1,9,HG,108,0,0,0,108,0,0,0,0,0,0,0,0,108,0,356.4,61,1.35493747800562,103.891360573947,530101,HOUGANG
101,JLN RAJAH,17,KWN,128,0,0,0,128,0,0,0,0,0,0,0,0,128,0,422.4,58,1.32871478392959,103.850545321033,321101,KALLANG/WHAMPOA
101,JURONG EAST ST 13,16,JE,238,0,0,196,40,2,0,0,0,0,0,0,0,238,0,629.0,60,1.33701100762294,103.738787314099,600101,JURONG EAST
101,LENGKONG TIGA,4,BD,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,38.0,66,1.32515983382087,103.910888819332,410101,BEDOK
101,PASIR RIS ST 12,13,PRC,96,0,0,0,0,0,96,0,0,0,0,0,0,96,0,364.79999999999995,66,1.36705021516612,103.958181857039,510101,PASIR RIS
101,POTONG PASIR AVE 1,16,TP,120,0,0,120,0,0,0,0,0,0,0,0,0,120,0,300.0,62,1.33315710123237,103.868380398922,350101,TOA PAYOH
101,RIVERVALE WALK,17,SK,131,0,0,0,56,75,0,0,0,0,0,0,0,131,0,447.29999999999995,76,1.38276428893595,103.899272035914,540101,SENGKANG
101,SERANGOON NTH AVE 1,13,SGN,144,0,0,0,144,0,0,0,0,0,0,0,0,144,0,475.2,62,1.37103631988089,103.870360910842,550101,SERANGOON
101,SIMEI ST 1,11,TAP,140,0,0,0,88,52,0,0,0,0,0,0,0,140,0,472.4,66,1.34084991073361,103.951433717517,520101,TAMPINES
101,SPOTTISWOODE PK RD,20,BM,76,0,0,0,76,0,0,0,0,0,0,0,0,76,0,250.79999999999998,51,1.27524141291212,103.836045808088,080101,BUKIT MERAH
101,TAMPINES ST 11,11,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0,120,0,332.0,59,1.34739870794535,103.945292359327,521101,TAMPINES
101,TECK WHYE LANE,13,CCK,66,0,0,0,0,0,66,0,0,0,0,0,0,66,0,250.79999999999998,66,1.37788964623982,103.754239909547,680101,CHOA CHU KANG
101,TOWNER RD,4,KWN,44,0,0,44,0,0,0,0,0,0,0,0,0,44,0,110.0,60,1.31943274557093,103.861091006776,322101,KALLANG/WHAMPOA
101,WHAMPOA DR,25,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,96,0,316.79999999999995,51,1.32041710187602,103.853813946402,323101,KALLANG/WHAMPOA
101,WOODLANDS ST 13,10,WL,146,0,0,89,55,2,0,0,0,0,0,0,0,146,0,411.0,62,1.43598268540185,103.781932747463,730101,WOODLANDS
101,YISHUN AVE 5,4,YS,107,0,0,94,12,1,0,0,0,0,0,0,0,107,0,278.1,55,1.43053589946874,103.827668593789,760101,YISHUN
101A,BIDADARI PK DR,16,TP,295,0,86,91,118,0,0,0,0,0,0,0,0,295,0,831.9,98,1.33685491728857,103.870997554177,341101,TOA PAYOH
101A,CANBERRA ST,15,SB,164,0,0,0,84,80,0,0,0,0,0,0,0,164,0,557.2,97,1.45173892803325,103.83045410628,751101,SEMBAWANG
101A,LOR 2 TOA PAYOH,17,TP,64,0,0,0,0,0,64,0,0,0,0,0,0,64,0,243.2,70,1.33974126719163,103.847264187382,310101,TOA PAYOH
101A,PUNGGOL FIELD,16,PG,82,0,0,0,26,56,0,0,0,0,0,0,0,82,0,281.8,79,1.3979461677694,103.905945136259,821101,PUNGGOL
101B,CANBERRA ST,16,SB,240,0,150,30,60,0,0,0,0,0,0,0,0,240,0,648.0,97,1.45166310353079,103.831174909166,752101,SEMBAWANG
101B,LOR 2 TOA PAYOH,13,TP,48,0,0,0,0,0,48,0,0,0,0,0,0,48,0,182.39999999999998,70,1.33959884500115,103.847605414427,311101,TOA PAYOH
101B,PUNGGOL FIELD,17,PG,92,0,0,0,0,92,0,0,0,0,0,0,0,92,0,322.0,79,1.39784715104396,103.906436071245,822101,PUNGGOL
101C,PUNGGOL FIELD,17,PG,86,0,0,0,0,86,0,0,0,0,0,0,0,86,0,301.0,79,1.39809045787162,103.906569305679,823101,PUNGGOL
101D,PUNGGOL FIELD,17,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,85,0,291.9,79,1.39848478483582,103.90614388692,824101,PUNGGOL
102,ALJUNIED CRES,12,GL,150,0,0,124,22,3,1,0,0,0,0,0,0,150,0,396.9,55,1.3204390302197,103.882420433245,380102,GEYLANG
102,ANG MO KIO AVE 3,12,AMK,88,0,0,0,66,22,0,0,0,0,0,0,0,88,0,294.79999999999995,55,1.37065009249377,103.839410348811,560102,ANG MO KIO
102,BEDOK RESERVOIR RD,4,BD,24,0,0,16,8,0,0,0,0,0,0,0,0,24,0,66.4,63,1.32849187727623,103.90926515578,470102,BEDOK
102,BEDOK NTH AVE 4,14,BD,150,0,0,118,26,2,4,0,0,0,0,0,0,150,0,403.0,54,1.33390654765002,103.937458398204,460102,BEDOK
102,BISHAN ST 12,25,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,92,0,324.4,64,1.3451431233477,103.847990805259,570102,BISHAN
102,BT BATOK WEST AVE 6,13,BB,96,0,0,2,46,48,0,0,0,0,0,0,0,96,0,324.79999999999995,62,1.34732995877412,103.747343554163,650102,BUKIT BATOK
102,BT PURMEI RD,10,BM,147,0,0,93,54,0,0,0,0,0,0,0,0,147,0,410.7,61,1.27190842334423,103.826671653892,090102,BUKIT MERAH
102,C'WEALTH CRES,10,QT,95,0,10,80,5,0,0,0,0,0,0,0,0,95,0,241.5,42,1.30782464878023,103.800629787177,140102,QUEENSTOWN
102,CLEMENTI ST 14,4,CL,8,0,0,0,0,0,8,0,0,0,0,0,0,8,0,30.4,62,1.32228557225905,103.769201884359,120102,CLEMENTI
102,GANGSA RD,10,BP,90,0,0,54,36,0,0,0,0,0,0,0,0,90,0,253.8,64,1.37910762831305,103.768153816778,670102,BUKIT PANJANG
102,HENDERSON CRES,14,BM,140,0,0,0,140,0,0,0,0,0,0,0,0,140,0,462.0,45,1.290366187147,103.82157708445,150102,BUKIT MERAH
102,HOUGANG AVE 1,13,HG,90,0,0,19,71,0,0,0,0,0,0,0,0,90,0,281.79999999999995,61,1.35496446293882,103.890855054687,530102,HOUGANG
102,JLN RAJAH,12,KWN,198,0,0,0,198,0,0,0,0,0,0,0,0,198,0,653.4,58,1.32822306444761,103.851519753845,321102,KALLANG/WHAMPOA
102,JLN DUSUN,25,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,59,1.3278687431847,103.844209602863,320102,KALLANG/WHAMPOA
102,JURONG EAST ST 13,12,JE,196,0,0,172,22,2,0,0,0,0,0,0,0,196,0,509.6,59,1.33609657873553,103.738219191663,600102,JURONG EAST
102,LENGKONG TIGA,14,BD,73,0,0,0,22,51,0,0,0,0,0,0,0,73,0,251.1,66,1.32557930714658,103.91065754789,410102,BEDOK
102,PASIR RIS ST 12,13,PRC,96,0,0,0,54,42,0,0,0,0,0,0,0,96,0,325.2,66,1.36748427336516,103.958041055125,510102,PASIR RIS
102,POTONG PASIR AVE 1,16,TP,167,0,0,144,20,0,3,0,0,0,0,0,0,167,0,437.4,61,1.3336901273759,103.868810587506,350102,TOA PAYOH
102,RIVERVALE WALK,17,SK,129,0,0,0,0,0,129,0,0,0,0,0,0,129,0,490.2,76,1.38180761026047,103.900893229708,540102,SENGKANG
102,SERANGOON NTH AVE 1,4,SGN,24,0,0,16,8,0,0,0,0,0,0,0,0,24,0,66.4,62,1.37084327297737,103.871153606719,550102,SERANGOON
102,SIMEI ST 1,11,TAP,100,0,0,0,64,36,0,0,0,0,0,0,0,100,0,337.2,66,1.34134724729923,103.951355068944,520102,TAMPINES
102,SPOTTISWOODE PK RD,20,BM,76,0,0,0,76,0,0,0,0,0,0,0,0,76,0,250.79999999999998,51,1.27472973036659,103.836235490003,080102,BUKIT MERAH
102,TAMPINES ST 11,11,TAP,140,0,0,90,50,0,0,0,0,0,0,0,0,140,0,390.0,60,1.34671616267656,103.945521388285,521102,TAMPINES
102,TECK WHYE LANE,9,CCK,64,0,0,0,36,28,0,0,0,0,0,0,0,64,0,216.8,66,1.377082841385,103.754394432037,680102,CHOA CHU KANG
102,TOWNER RD,4,KWN,36,0,0,36,0,0,0,0,0,0,0,0,0,36,0,90.0,61,1.32058609456907,103.862002015145,322102,KALLANG/WHAMPOA
102,WOODLANDS ST 13,12,WL,110,0,0,65,45,0,0,0,0,0,0,0,0,110,0,311.0,62,1.43608294925148,103.781199565987,730102,WOODLANDS
102A,BIDADARI PK DR,16,TP,205,0,66,0,139,0,0,0,0,0,0,0,0,205,0,623.7,98,1.33735663767481,103.871501841302,341102,TOA PAYOH
102A,CANBERRA ST,17,SB,190,0,0,0,94,96,0,0,0,0,0,0,0,190,0,646.2,97,1.45119390519494,103.832227554636,751102,SEMBAWANG
102A,DEPOT RD,21,BM,114,0,39,0,0,0,0,0,75,0,0,0,0,114,0,262.5,94,1.28029134553105,103.81333235886,101102,BUKIT MERAH
102A,PUNGGOL FIELD,17,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,85,0,291.9,79,1.39883318313425,103.905783553043,821102,PUNGGOL
102B,BIDADARI PK DR,16,TP,200,0,0,52,148,0,0,0,0,0,0,0,0,200,0,618.4,98,1.33622045424375,103.871847066518,342102,TOA PAYOH
102B,CANBERRA ST,16,SB,210,0,180,30,0,0,0,0,0,0,0,0,0,210,0,525.0,97,1.45123970424367,103.83143636512,752102,SEMBAWANG
102B,PUNGGOL FIELD,17,PG,86,0,0,0,0,86,0,0,0,0,0,0,0,86,0,301.0,79,1.39908525778671,103.905471407838,822102,PUNGGOL
102C,PUNGGOL FIELD,17,PG,92,0,0,0,0,92,0,0,0,0,0,0,0,92,0,322.0,78,1.39876127750607,103.90493897318,823102,PUNGGOL
102D,PUNGGOL FIELD,16,PG,82,0,0,0,26,56,0,0,0,0,0,0,0,82,0,281.8,79,1.39848070795436,103.905249752459,824102,PUNGGOL
103,AH HOOD RD,25,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,59,1.32796267483785,103.844826964123,320103,KALLANG/WHAMPOA
103,ANG MO KIO AVE 3,12,AMK,131,0,0,97,33,1,0,0,0,0,0,0,0,131,0,354.9,55,1.37101657804604,103.839304839187,560103,ANG MO KIO
103,BEDOK NTH AVE 4,14,BD,154,0,0,126,26,0,2,0,0,0,0,0,0,154,0,408.4,54,1.33348258777759,103.937542520091,460103,BEDOK
103,BEDOK RESERVOIR RD,12,BD,154,0,0,88,66,0,0,0,0,0,0,0,0,154,0,437.79999999999995,63,1.32877022232019,103.909381354431,470103,BEDOK
103,BISHAN ST 12,25,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,92,0,324.4,64,1.34551249132105,103.848314162387,570103,BISHAN
103,BT BATOK CTRL,13,BB,96,0,0,4,44,48,0,0,0,0,0,0,0,96,0,323.2,62,1.34835438788998,103.748094095917,650103,BUKIT BATOK
103,BT PURMEI RD,11,BM,119,0,0,68,50,1,0,0,0,0,0,0,0,119,0,338.5,60,1.27208558524996,103.825495615402,090103,BUKIT MERAH
103,CLEMENTI ST 14,14,CL,104,0,0,0,18,86,0,0,0,0,0,0,0,104,0,360.4,62,1.32258854750628,103.769176205799,120103,CLEMENTI
103,GANGSA RD,4,BP,26,0,0,19,7,0,0,0,0,0,0,0,0,26,0,70.6,64,1.37867070821171,103.768538440957,670103,BUKIT PANJANG
103,HENDERSON CRES,14,BM,140,0,0,0,140,0,0,0,0,0,0,0,0,140,0,462.0,45,1.28974209684545,103.821375681569,150103,BUKIT MERAH
103,HOUGANG AVE 1,13,HG,81,0,0,0,30,51,0,0,0,0,0,0,0,81,0,277.5,61,1.35528223434405,103.89036014824,530103,HOUGANG
103,JLN RAJAH,25,KWN,144,0,0,0,48,96,0,0,0,0,0,0,0,144,0,494.4,61,1.32734143333539,103.852780650365,321103,KALLANG/WHAMPOA
103,JURONG EAST ST 13,25,JE,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,60,1.33668715015786,103.738059200285,600103,JURONG EAST
103,LENGKONG TIGA,14,BD,73,0,0,0,22,51,0,0,0,0,0,0,0,73,0,251.1,66,1.32585546338587,103.910598910975,410103,BEDOK
103,PASIR RIS ST 12,13,PRC,96,0,0,0,54,42,0,0,0,0,0,0,0,96,0,325.2,66,1.36769508123853,103.958404209993,510103,PASIR RIS
103,POTONG PASIR AVE 1,4,TP,63,0,0,62,0,0,1,0,0,0,0,0,0,63,0,158.8,61,1.33411338676706,103.86952371664,350103,TOA PAYOH
103,RIVERVALE WALK,17,SK,123,0,0,0,0,0,123,0,0,0,0,0,0,123,0,467.4,76,1.38291146712108,103.901208583313,540103,SENGKANG
103,SERANGOON NTH AVE 1,13,SGN,144,0,0,0,144,0,0,0,0,0,0,0,0,144,0,475.2,62,1.37067353047523,103.870263924296,550103,SERANGOON
103,SPOTTISWOODE PK RD,25,BM,94,0,0,0,0,92,2,0,0,0,0,0,0,94,0,329.6,54,1.27466096925721,103.835279824837,080103,BUKIT MERAH
103,TAMPINES ST 11,10,TAP,126,0,0,72,54,0,0,0,0,0,0,0,0,126,0,358.2,60,1.34769662535556,103.946229920882,520103,TAMPINES
103,TECK WHYE LANE,9,CCK,80,0,0,0,52,28,0,0,0,0,0,0,0,80,0,269.6,66,1.37713078246274,103.753555993761,680103,CHOA CHU KANG
103,TOWNER RD,11,KWN,80,0,0,0,40,40,0,0,0,0,0,0,0,80,0,272.0,60,1.32064381512285,103.861634081148,322103,KALLANG/WHAMPOA
103,WOODLANDS ST 13,4,WL,32,0,0,24,8,0,0,0,0,0,0,0,0,32,0,86.4,62,1.4366212320968,103.78097673981,730103,WOODLANDS
103,YISHUN RING RD,4,YS,64,0,0,60,4,0,0,0,0,0,0,0,0,64,0,163.2,62,1.43136934951878,103.828892847163,760103,YISHUN
103A,BIDADARI PK DR,17,TP,116,0,0,56,60,0,0,0,0,0,0,0,0,116,0,338.0,98,1.33561133729051,103.87172830638,341103,TOA PAYOH
103A,CANBERRA ST,15,SB,224,0,140,28,56,0,0,0,0,0,0,0,0,224,0,604.8,97,1.45103006132424,103.830534008712,751103,SEMBAWANG
103A,DEPOT RD,25,BM,96,0,0,0,96,0,0,0,0,0,0,0,0,96,0,316.79999999999995,77,1.28070197642689,103.813353428682,101103,BUKIT MERAH
103A,EDGEFIELD PLAINS,17,PG,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,78,1.39825531783982,103.904753996381,821103,PUNGGOL
103B,BIDADARI PK DR,16,TP,152,0,0,76,76,0,0,0,0,0,0,0,0,152,0,440.79999999999995,98,1.33508985686117,103.871337510446,342103,TOA PAYOH
103B,CANBERRA ST,15,SB,224,0,140,28,56,0,0,0,0,0,0,0,0,224,0,604.8,97,1.45056599465441,103.831238741555,752103,SEMBAWANG
103B,DEPOT RD,20,BM,76,0,0,0,38,38,0,0,0,0,0,0,0,76,0,258.4,77,1.28073692384594,103.813135678562,102103,BUKIT MERAH
103B,EDGEFIELD PLAINS,16,PG,90,0,0,0,0,90,0,0,0,0,0,0,0,90,0,315.0,78,1.39773127538403,103.90468537415,822103,PUNGGOL
103C,EDGEFIELD PLAINS,16,PG,90,0,0,0,0,90,0,0,0,0,0,0,0,90,0,315.0,79,1.39726660845387,103.90453836308,823103,PUNGGOL
104,ALJUNIED CRES,12,GL,88,0,0,0,88,0,0,0,0,0,0,0,0,88,0,290.4,55,1.32006886595229,103.882818111651,380104,GEYLANG
104,BEDOK RESERVOIR RD,15,BD,84,0,0,0,12,72,0,0,0,0,0,0,0,84,0,291.6,63,1.32924536652386,103.909923721507,470104,BEDOK
