blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
183,TOA PAYOH CTRL,4,TP,70,0,0,52,17,1,0,0,0,0,0,0,0,70,0,189.6,49,1.33335596212429,103.848865687447,310183,TOA PAYOH
183,YUNG SHENG RD,18,JW,85,0,0,0,51,34,0,0,0,0,0,0,0,85,0,287.29999999999995,77,1.3332396770301,103.722683916463,610183,JURONG WEST
183A,BOON LAY AVE,16,JW,120,0,0,0,90,30,0,0,0,0,0,0,0,120,0,402.0,91,1.34861716958628,103.709733571074,641183,JURONG WEST
183A,RIVERVALE CRES,17,SK,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,79,1.39164106188715,103.907924031863,541183,SENGKANG
183A,WOODLANDS ST 13,29,WL,150,0,0,0,54,96,0,0,0,0,0,0,0,150,0,514.2,96,1.43541550566116,103.777407059508,731183,WOODLANDS
183B,BOON LAY AVE,16,JW,120,0,0,0,90,30,0,0,0,0,0,0,0,120,0,402.0,91,1.34809658034932,103.709411374507,642183,JURONG WEST
183B,RIVERVALE CRES,17,SK,112,0,0,0,48,64,0,0,0,0,0,0,0,112,0,382.4,79,1.39130624638809,103.908329711702,542183,SENGKANG
183B,WOODLANDS ST 13,24,WL,120,0,0,0,32,88,0,0,0,0,0,0,0,120,0,413.6,96,1.4351188080972,103.777142798069,732183,WOODLANDS
183C,BOON LAY AVE,16,JW,120,0,0,0,90,30,0,0,0,0,0,0,0,120,0,402.0,91,1.34865235705733,103.709098000538,643183,JURONG WEST
183C,RIVERVALE CRES,17,SK,112,0,0,0,48,64,0,0,0,0,0,0,0,112,0,382.4,79,1.39094842317403,103.908612424417,543183,SENGKANG
183C,WOODLANDS ST 13,27,WL,154,0,0,0,100,54,0,0,0,0,0,0,0,154,0,519.0,96,1.43465687984813,103.776726754884,733183,WOODLANDS
183D,BOON LAY AVE,16,JW,90,0,0,0,30,60,0,0,0,0,0,0,0,90,0,309.0,91,1.34909073283024,103.709042656994,644183,JURONG WEST
183D,RIVERVALE CRES,17,SK,138,0,0,0,138,0,0,0,0,0,0,0,0,138,0,455.4,79,1.39145041079796,103.908743124375,544183,SENGKANG
