blk_no,street,Postcode,n_supmkt_400,dist_supmkt,n_food_400,n_mrt_400m,dist_mrt,dist_cbd,n_presch_400,n_sch_2km,prank_2km,grnarea_400
310B,ANG MO KIO AVE 1,562310,2,360.5725256886863,6,0,818.4394802861382,6898.338075503705,6,19,2.0,13.014843511511303
310B,ANCHORVALE RD,542310,0,540.5109571780802,16,0,1205.0175456585907,9739.267599600342,3,23,31.0,0.648435957911408
310B,PUNGGOL WALK,822310,1,172.2328716991755,103,0,546.5908081427146,12151.113559882031,6,17,47.0,8.552627544811072
310C,ANG MO KIO AVE 1,563310,1,314.4184528388432,3,0,770.5631125652953,6884.012056450502,6,19,2.0,13.692872729295953
310C,PUNGGOL WALK,823310,1,133.36114272060777,32,0,620.0501191132198,12162.879423000775,7,17,47.0,6.590507379297207
311,ANG MO KIO AVE 3,560311,2,253.71684037255972,199,2,326.1160675886895,7054.488157115026,8,19,2.0,2.28496767578715
311,BT BATOK ST 32,650311,3,238.9140124086051,90,0,421.32415015139446,13354.247666722886,5,13,40.0,0.0
311,CANBERRA RD,750311,0,402.07674065356065,8,0,410.0784986506164,16225.439210762486,3,10,41.0,0.946076113791123
311,HOUGANG AVE 5,530311,2,68.19129080959398,38,0,679.4819139067231,7388.007059166982,4,17,23.0,0.589355684106667
311,JURONG EAST ST 32,600311,1,282.17263032904503,38,0,587.4808709726603,14352.729956703797,3,15,7.0,0.762668462457336
311,SERANGOON AVE 2,550311,0,493.0545977495652,26,1,339.22349903811886,5461.2025379226725,3,14,22.0,0.988616046506971
311,SHUNFU RD,570311,1,380.8069117982635,12,1,240.62634119198822,5540.688780229156,6,16,4.0,0.926305662034373
311,TAMPINES ST 33,520311,1,312.88747015502065,33,0,446.05247379531784,11272.374511140386,9,17,16.0,0.792709350583104
311,UBI AVE 1,400311,1,152.81317133237584,68,0,450.5095826230607,4796.75305538055,7,7,45.0,0.734456672752815
311,WOODLANDS ST 31,730311,2,317.1557443544312,80,1,325.8190055012253,16547.30844847899,10,13,63.0,0.69817290340107
311,YISHUN RING RD,760311,3,183.25136973543133,53,0,688.0974139711246,14285.464942585822,6,19,29.0,1.945043425872457
311A,ANCHORVALE LANE,541311,0,471.00422832738,16,0,1273.6751702257616,9733.240203676774,4,19,31.0,1.013235051245599
311A,CLEMENTI AVE 4,121311,0,428.3881827535401,34,0,460.64684319524525,9722.638555347681,7,11,5.0,2.249434361682674
311B,ANCHORVALE LANE,542311,0,496.7895711576806,16,0,1242.6251656842605,9769.760967676466,3,21,31.0,0.954393640232992
311B,CLEMENTI AVE 4,122311,0,427.3237038924264,34,0,498.17113800741913,9722.969160520814,8,10,5.0,2.760799841803414
311C,ANCHORVALE LANE,543311,0,507.773690171673,16,0,1229.3728114905807,9806.710629024408,3,19,31.0,0.850109368258071
311C,CLEMENTI AVE 4,123311,1,395.07545200425636,34,0,570.3286328743243,9762.922236442218,8,11,5.0,3.107906168332572
311D,ANCHORVALE LANE,544311,0,538.2234008259747,16,0,1199.8054835468463,9843.142831470499,3,20,31.0,0.839096131661866
312,ANG MO KIO AVE 3,560312,2,212.91518649047222,187,1,370.86622360006004,7006.025299803045,8,20,2.0,2.815458734876453
312,BT BATOK ST 32,650312,3,303.59254809047013,52,0,521.9697795971335,13442.395617877512,6,13,40.0,0.0
312,HOUGANG AVE 5,530312,2,129.61947324216743,44,0,677.4418638505466,7340.461663831154,3,18,23.0,0.556511011378025
312,JURONG EAST ST 32,600312,1,187.98816477368862,45,0,506.5316625165591,14356.286453621653,3,15,7.0,0.655288177177176
312,SEMBAWANG DR,750312,0,446.2426184060494,14,0,514.1177391160389,16067.924380231554,3,11,41.0,1.502773744744262
312,SERANGOON AVE 2,550312,0,553.5436225787513,26,1,260.4017345727062,5408.827326507118,3,16,22.0,0.948962450221679
312,SHUNFU RD,570312,1,304.665518685354,7,1,287.0577094246981,5595.73827925818,5,17,4.0,1.000640032080254
312,TAMPINES ST 33,520312,1,367.92287103016156,46,0,495.3888695636806,11215.846541400306,7,17,16.0,0.800891106442179
312,UBI AVE 1,400312,1,207.50898706994784,65,0,505.1979362749405,4822.96627356472,7,7,45.0,0.548164863786908
312,WOODLANDS ST 31,730312,2,254.28643364803574,65,1,267.75645644681356,16599.157646507123,12,13,63.0,0.634828023547712
312,YISHUN RING RD,760312,3,179.30137747346234,52,0,750.3311441496791,14260.721936716282,5,19,29.0,1.882569660799506
312A,ANCHORVALE LANE,541312,0,588.0445497792476,16,0,1149.2550874613617,9839.133430499549,3,21,31.0,1.028054046353207
