blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
101,PASIR RIS ST 12,510101,89,36,81,100,87,61,68,49,26,25
101,POTONG PASIR AVE 1,350101,89,21,75,75,5,8,76,42,20,54
101,RIVERVALE WALK,540101,78,47,76,100,52,39,72,26,34,86
101,SERANGOON NTH AVE 1,550101,78,60,74,100,100,26,88,68,2,72
101,SIMEI ST 1,520101,89,49,62,75,14,45,84,39,17,81
101,SPOTTISWOODE PK RD,80101,100,94,85,100,47,1,92,84,25,100
101,TAMPINES ST 11,521101,78,39,82,100,48,43,68,23,17,24
101,TECK WHYE LANE,680101,78,2,71,100,65,74,76,26,39,93
101,TOWNER RD,322101,78,58,79,75,1,4,68,71,54,84
101,WHAMPOA DR,323101,100,81,83,100,70,4,80,59,20,84
101,WOODLANDS ST 13,730101,89,71,97,100,34,93,88,49,76,9
101,YISHUN AVE 5,760101,89,12,79,100,65,78,64,52,41,61
101A,BIDADARI PK DR,341101,100,98,97,75,8,11,88,46,20,49
101A,CANBERRA ST,751101,78,55,93,100,75,92,84,75,41,76
101A,LOR 2 TOA PAYOH,310101,89,34,58,75,1,13,84,52,13,81
101A,PUNGGOL FIELD,821101,89,69,92,100,67,52,64,30,52,53
101B,CANBERRA ST,752101,78,43,93,100,75,92,84,78,41,76
101B,LOR 2 TOA PAYOH,311101,89,23,62,75,2,13,80,49,13,81
101B,PUNGGOL FIELD,822101,89,57,92,100,70,52,57,30,52,53
101C,PUNGGOL FIELD,823101,89,58,91,100,69,53,57,30,52,53
101D,PUNGGOL FIELD,824101,89,72,91,100,64,53,64,30,52,55
102,ALJUNIED CRES,380102,100,90,97,100,26,6,68,71,49,99
102,ANG MO KIO AVE 3,560102,89,77,81,100,84,29,76,42,4,26
102,BEDOK RESERVOIR RD,470102,100,93,95,100,56,17,92,75,65,54
102,BEDOK NTH AVE 4,460102,67,27,81,100,48,33,88,36,17,83
102,BISHAN ST 12,570102,100,86,82,100,36,14,88,49,13,24
102,BT BATOK WEST AVE 6,650102,78,48,66,75,12,66,76,52,57,30
102,BT PURMEI RD,90102,89,49,93,100,72,3,92,81,25,18
102,C'WEALTH CRES,140102,100,96,95,100,48,19,92,78,23,90
102,CLEMENTI ST 14,120102,78,12,85,100,72,40,88,55,5,83
102,GANGSA RD,670102,100,89,96,100,57,65,80,49,55,60
102,HENDERSON CRES,150102,100,91,100,100,36,7,92,62,25,53
102,HOUGANG AVE 1,530102,78,16,65,100,68,21,96,78,34,55
102,JLN RAJAH,321102,78,67,86,100,49,7,88,36,20,58
102,JLN DUSUN,320102,78,11,79,100,47,8,88,39,18,72
102,JURONG EAST ST 13,600102,56,6,59,100,38,70,84,68,57,72
102,LENGKONG TIGA,410102,89,24,97,100,39,17,84,75,65,65
102,PASIR RIS ST 12,510102,89,25,81,100,85,61,60,52,26,18
102,POTONG PASIR AVE 1,350102,89,39,75,75,8,9,80,42,20,57
